,draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,roster_id,round,first_name,injury_status,last_name,news_updated,number,position,sport,status,team
0,863912024172847105,1,,1,455204806886158336,6813,14,1,Jonathan,InjuryStatus.NA,Taylor,1661664362396,28,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.IND
1,863912024172847105,2,,2,605279643485933568,4034,9,1,Christian,InjuryStatus.NA,McCaffrey,1661550311801,22,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CAR
2,863912024172847105,3,,3,605249638039109632,3198,5,1,Derrick,InjuryStatus.NA,Henry,1662096645655,22,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.TEN
3,863912024172847105,4,,4,340485204214874112,4663,1,1,Austin,InjuryStatus.NA,Ekeler,1661638259523,30,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAC
4,863912024172847105,5,,5,618292946139164672,4029,12,1,Dalvin,InjuryStatus.NA,Cook,1661537410200,4,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIN
5,863912024172847105,6,,6,605445447401689088,7528,6,1,Najee,InjuryStatus.NA,Harris,1661800847687,22,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PIT
6,863912024172847105,7,,7,869626839986032640,6794,8,1,Justin,InjuryStatus.NA,Jefferson,1661536509762,18,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIN
7,863912024172847105,8,,8,605254631701970944,4039,13,1,Cooper,InjuryStatus.NA,Kupp,1661630457442,10,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAR
8,863912024172847105,9,,9,605176209256583168,6790,3,1,D'Andre,InjuryStatus.NA,Swift,1661749848402,32,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DET
9,863912024172847105,10,,10,605180610515898368,2133,4,1,Davante,InjuryStatus.NA,Adams,1661570415222,17,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LV
10,863912024172847105,11,,11,737782444484370432,7564,10,1,Ja'Marr,InjuryStatus.NA,Chase,1661160303825,1,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CIN
11,863912024172847105,12,,12,605263942515773440,4035,7,1,Alvin,InjuryStatus.NA,Kamara,1661570415225,41,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NO
12,863912024172847105,13,,13,605175435638145024,2449,2,1,Stefon,InjuryStatus.NA,Diggs,1661568615080,14,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BUF
13,863912024172847105,14,,14,605266609971470336,4018,11,1,Joe,InjuryStatus.NA,Mixon,1661159703564,28,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.CIN
14,863912024172847105,14,,15,605266609971470336,3321,11,2,Tyreek,InjuryStatus.NA,Hill,1661676303875,10,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIA
15,863912024172847105,13,,16,605175435638145024,4866,2,2,Saquon,InjuryStatus.NA,Barkley,1661724646011,26,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NYG
16,863912024172847105,12,,17,605263942515773440,1466,7,2,Travis,InjuryStatus.NA,Kelce,1661040618648,87,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.KC
17,863912024172847105,11,,18,737782444484370432,6786,10,2,CeeDee,InjuryStatus.QUESTIONABLE,Lamb,1661552412395,88,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DAL
18,863912024172847105,10,,19,605180610515898368,4199,4,2,Aaron,InjuryStatus.NA,Jones,1661515807245,33,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.GB
19,863912024172847105,9,,20,605176209256583168,5012,3,2,Mark,InjuryStatus.NA,Andrews,1661460359278,89,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BAL
