,adds,consenter_ids,created,creator,draft_picks,drops,roster_ids,settings,status,status_updated,transaction_id,type,waiver_budget,leg,metadata
27,{'5549': 1},[1],1663721382107,340485204214874112,[],{'7606': 1},[1],"TransactionSettings(seq=1, waiver_bid=15)",TransactionStatus.COMPLETE,1663743887989,878114757645996032,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
28,{'CHI': 6},[6],1663716366011,605445447401689088,[],{'PIT': 6},[6],"TransactionSettings(seq=10, waiver_bid=1)",TransactionStatus.COMPLETE,1663743887989,878093718614351872,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
29,{'1144': 3},[3],1663712411137,605176209256583168,[],{'8121': 3},[3],"TransactionSettings(seq=2, waiver_bid=6)",TransactionStatus.COMPLETE,1663743887989,878077130670510080,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
30,{'PHI': 14},[14],1663701523084,455204806886158336,[],{'IND': 14},[14],"TransactionSettings(seq=11, waiver_bid=0)",TransactionStatus.FAILED,1663743887989,878031462866296832,TransactionType.WAIVER,[],2,{'notes': 'This player was claimed by another owner.'}
31,{'1837': 3},[3],1663685663573,605176209256583168,[],{'2306': 3},[3],"TransactionSettings(seq=14, waiver_bid=0)",TransactionStatus.COMPLETE,1663743887989,877964943256010752,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
32,{'PHI': 8},[8],1663677789004,869626839986032640,[],{'CIN': 8},[8],"TransactionSettings(seq=8, waiver_bid=3)",TransactionStatus.COMPLETE,1663743887989,877931914919596032,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
33,{'7591': 12},[12],1663641630211,618292946139164672,[],{'2750': 12},[12],"TransactionSettings(seq=13, waiver_bid=0)",TransactionStatus.COMPLETE,1663743887989,877780253949923328,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
34,{'8408': 11},[11],1663629136160,605266609971470336,[],{'8211': 11},[11],"TransactionSettings(seq=9, waiver_bid=1)",TransactionStatus.FAILED,1663743887989,877727850101559296,TransactionType.WAIVER,[],2,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}"
35,{'2161': 11},[11],1663582452168,605266609971470336,[],{'8211': 11},[11],"TransactionSettings(seq=0, waiver_bid=15)",TransactionStatus.COMPLETE,1663743887989,877532043247083520,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
36,{'3242': 11},[11],1663582413984,605266609971470336,[],{'8137': 11},[11],"TransactionSettings(seq=5, waiver_bid=5)",TransactionStatus.COMPLETE,1663743887989,877531883091734528,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
37,{'3163': 4},[4],1663561160541,605180610515898368,[],{'2431': 4},[4],"TransactionSettings(seq=12, waiver_bid=0)",TransactionStatus.COMPLETE,1663743887989,877442739690684416,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
38,{'4036': 6},[6],1663560994383,605445447401689088,[],{'3202': 6},[6],"TransactionSettings(seq=7, waiver_bid=4)",TransactionStatus.COMPLETE,1663743887989,877442042773528576,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
39,{'6847': 6},[6],1663560914777,605445447401689088,[],{'5917': 6},[6],"TransactionSettings(seq=3, waiver_bid=5)",TransactionStatus.COMPLETE,1663743887989,877441708881793024,TransactionType.WAIVER,[],2,{'notes': 'Your waiver claim was processed successfully!'}
40,{'956': 7},[7],1663515560520,605263942515773440,[],,[7],,TransactionStatus.COMPLETE,1663515560520,877251479340642304,TransactionType.FREE_AGENT,[],2,
41,{'DEN': 2},[2],1663374223820,605175435638145024,[],,[2],,TransactionStatus.COMPLETE,1663374223820,876658670249910272,TransactionType.FREE_AGENT,[],2,
42,,[3],1663251959046,605176209256583168,[],{'8153': 3},[3],,TransactionStatus.COMPLETE,1663251959046,876145854623416320,TransactionType.FREE_AGENT,[],2,
43,{'8211': 11},[11],1663237976091,605266609971470336,[],{'7594': 11},[11],,TransactionStatus.COMPLETE,1663237976091,876087205859328000,TransactionType.FREE_AGENT,[],2,
44,{'4195': 9},[9],1663180507476,605279643485933568,[],,[9],,TransactionStatus.COMPLETE,1663180507476,875846165017649152,TransactionType.FREE_AGENT,[],2,
45,,[9],1663165097973,605279643485933568,[],{'6126': 9},[9],,TransactionStatus.COMPLETE,1663165097973,875781532877467648,TransactionType.FREE_AGENT,[],2,
46,{'3423': 14},[14],1663156414012,455204806886158336,[],{'956': 14},[14],,TransactionStatus.COMPLETE,1663156414012,875745109705175040,TransactionType.FREE_AGENT,[],2,
47,{'4082': 1},[1],1663147924849,340485204214874112,[],{'7066': 1},[1],,TransactionStatus.COMPLETE,1663147924849,875709503574847488,TransactionType.FREE_AGENT,[],2,
