,custom_points,matchup_id,players,players_points,points,roster_id,starters,starters_points,week
34,,1,"['NO', '956', '8168', '8167', '8136', '7610', '7596', '6819', '6151', '5848', '5045', '4666', '4035', '2028', '1466']","{'NO': 4.0, '956': 7.8, '8168': -3.0, '8167': 0.0, '8136': 0.0, '7610': 0.0, '7596': 6.9, '6819': 11.2, '6151': 4.9, '5848': 21.0, '5045': 13.7, '4666': 12.0, '4035': 5.3, '2028': 20.82, '1466': 15.9}",108.82,7,"['2028', '4035', '6151', '6819', '5045', '1466', '5848', '4666', 'NO']","[20.82, 5.3, 4.9, 11.2, 13.7, 15.9, 21.0, 12.0, 4.0]",3
35,,3,"['PHI', '947', '7617', '7588', '6797', '6794', '6783', '6768', '5916', '5272', '5185', '5000', '4089', '4037', '2320']","{'PHI': 20.0, '947': 0.0, '7617': 1.0, '7588': 7.5, '6797': 12.58, '6794': 2.9, '6783': 2.7, '6768': 11.44, '5916': 1.7, '5272': 2.0, '5185': 12.5, '5000': 15.2, '4089': 3.5, '4037': 0.0, '2320': 12.0}",63.24,8,"['6768', '7588', '5916', '6794', '5185', '4089', '6783', '7617', 'PHI']","[11.44, 7.5, 1.7, 2.9, 12.5, 3.5, 2.7, 1.0, 20.0]",3
36,,5,"['LAC', '96', '6955', '6886', '6820', '5859', '4973', '4227', '4217', '4195', '4034', '2749', '1992', '1426', '1373']","{'LAC': -4.0, '96': 17.1, '6955': 19.1, '6886': 6.1, '6820': 12.4, '5859': 17.0, '4973': 1.2, '4227': 0.0, '4217': 4.8, '4195': 6.0, '4034': 12.5, '2749': 1.1, '1992': 3.3, '1426': 0.0, '1373': 19.9}",88.2,9,"['96', '4034', '6820', '5859', '1992', '4217', '6955', '4195', 'LAC']","[17.1, 12.5, 12.4, 17.0, 3.3, 4.8, 19.1, 6.0, -4.0]",3
37,,7,"['CLE', '8155', '8146', '8132', '7839', '7564', '6943', '6843', '6786', '5927', '5844', '4985', '421', '4017']","{'CLE': 11.0, '8155': 12.2, '8146': 9.0, '8132': 3.5, '7839': 9.0, '7564': 8.7, '6943': 5.2, '6843': 1.7, '6786': 18.7, '5927': 13.2, '5844': 9.3, '4985': 7.4, '421': 10.16, '4017': 0.0}",99.66,10,"['421', '8155', '4985', '7564', '6786', '5844', '5927', '7839', 'CLE']","[10.16, 12.2, 7.4, 8.7, 18.7, 9.3, 13.2, 9.0, 11.0]",3
38,,2,"['GB', '7611', '7567', '7527', '6803', '650', '6126', '5850', '5001', '4018', '3321', '3242', '2309', '167']","{'GB': 13.0, '7611': 18.1, '7567': 0.6, '7527': 18.94, '6803': 11.4, '650': 10.0, '6126': 4.2, '5850': 11.2, '5001': 0.0, '4018': 5.3, '3321': 4.3, '3242': 0.0, '2309': 19.6, '167': 14.74}",93.74,11,"['167', '4018', '5850', '3321', '2309', '6126', '6803', '650', 'GB']","[14.74, 5.3, 11.2, 4.3, 19.6, 4.2, 11.4, 10.0, 13.0]",3
39,,5,"['LAR', '7670', '7591', '7042', '6801', '6770', '5967', '4098', '4033', '4029', '3969', '2505', '2374', '2319']","{'LAR': 6.0, '7670': 12.9, '7591': 4.94, '7042': 4.0, '6801': 11.8, '6770': 23.0, '5967': 10.5, '4098': 7.6, '4033': 19.4, '4029': 12.6, '3969': 9.5, '2505': 3.7, '2374': 12.1, '2319': 18.1}",93.2,12,"['6770', '4029', '5967', '6801', '2374', '2505', '3969', '7042', 'LAR']","[23.0, 12.6, 10.5, 11.8, 12.1, 3.7, 9.5, 4.0, 6.0]",3
40,,6,"['SF', '8151', '8135', '7608', '6945', '6938', '6826', '5947', '5095', '4988', '4039', '3271', '1689', '1234']","{'SF': 10.0, '8151': 4.8, '8135': 2.6, '7608': 29.9, '6945': 10.5, '6938': 9.1, '6826': 5.0, '5947': 0.0, '5095': 10.0, '4988': 17.3, '4039': 14.4, '3271': 8.1, '1689': 15.1, '1234': 9.06}",103.56,13,"['1234', '4988', '6938', '4039', '1689', '3271', '6945', '5095', 'SF']","[9.06, 17.3, 9.1, 14.4, 15.1, 8.1, 10.5, 10.0, 10.0]",3
41,,4,"['CIN', '8228', '8148', '7571', '7561', '7547', '6813', '5987', '5284', '5038', '4993', '4984', '3423', '1479', '1352', '1348']","{'CIN': 19.0, '8228': 2.8, '8148': 0.0, '7571': 3.9, '7561': 0.0, '7547': 10.3, '6813': 10.6, '5987': 10.9, '5284': 9.1, '5038': 0.0, '4993': 1.1, '4984': 23.7, '3423': 1.9, '1479': 0.0, '1352': 10.5, '1348': 4.0}",81.7,14,"['4984', '6813', '5284', '7571', '7547', '4993', '5038', '1348', 'CIN']","[23.7, 10.6, 9.1, 3.9, 10.3, 1.1, 0.0, 4.0, 19.0]",3
42,,3,"['PIT', 'BAL', '6659', '6083', '5872', '5849', '5022', '4951', '4950', '4663', '4137', '4082', '3664', '2197', '1387']","{'PIT': 5.0, 'BAL': 6.0, '6659': 4.7, '6083': 9.0, '5872': 20.7, '5849': 22.88, '5022': 9.7, '4951': 0.0, '4950': 7.3, '4663': 30.9, '4137': 9.2, '4082': 5.8, '3664': 7.1, '2197': 15.2, '1387': 12.4}",120.48,1,"['5849', '4663', '4137', '4082', '4950', '5022', '5872', '6083', 'PIT']","[22.88, 30.9, 9.2, 5.8, 7.3, 9.7, 20.7, 9.0, 5.0]",4
43,,5,"['DAL', '8126', '8119', '7600', '7543', '6904', '5955', '5937', '5917', '5890', '5347', '4866', '4602', '4080', '391', '2449']","{'DAL': 11.0, '8126': 0.0, '8119': 11.8, '7600': 12.0, '7543': 3.2, '6904': 15.96, '5955': 0.0, '5937': 3.2, '5917': 0.9, '5890': 14.9, '5347': 1.3, '4866': 17.2, '4602': 9.2, '4080': 0.0, '391': 8.0, '2449': 8.2}",93.66,2,"['6904', '4866', '7543', '2449', '5937', '7600', '5890', '391', 'DAL']","[15.96, 17.2, 3.2, 8.2, 3.2, 12.0, 14.9, 8.0, 11.0]",4
44,,3,"['NE', 'MIN', '8129', '7607', '7525', '7523', '6806', '6790', '6130', '503', '5012', '4983', '4177', '4040', '2161']","{'NE': 12.0, 'MIN': 7.0, '8129': 22.9, '7607': 2.9, '7525': 3.2, '7523': 2.66, '6806': 20.3, '6790': 0.0, '6130': 8.6, '503': 9.0, '5012': 2.5, '4983': 9.1, '4177': 4.8, '4040': 7.1, '2161': 0.5}",69.76,3,"['7523', '8129', '6130', '4983', '7525', '5012', '4177', '503', 'MIN']","[2.66, 22.9, 8.6, 9.1, 3.2, 2.5, 4.8, 9.0, 7.0]",4
45,,7,"['TB', '8112', '7553', '6828', '5133', '5110', '4199', '4149', '4068', '3225', '3163', '3161', '2133', '17']","{'TB': 1.0, '8112': 2.7, '7553': 3.0, '6828': 8.9, '5133': 6.7, '5110': 3.4, '4199': 13.0, '4149': 23.4, '4068': 15.5, '3225': 6.62, '3163': 34.22, '3161': 9.3, '2133': 15.0, '17': 8.0}",115.82,4,"['3163', '4199', '4149', '2133', '4068', '7553', '8112', '17', 'TB']","[34.22, 13.0, 23.4, 15.0, 15.5, 3.0, 2.7, 8.0, 1.0]",4
46,,2,"['BUF', '8205', '8154', '8139', '7526', '5906', '5846', '5086', '4234', '4046', '3214', '3198', '3164', '24', '1264']","{'BUF': 7.0, '8205': 6.3, '8154': 0.0, '8139': 2.4, '7526': 4.9, '5906': 5.5, '5846': 18.4, '5086': 7.8, '4234': 7.6, '4046': 24.36, '3214': 2.3, '3198': 22.2, '3164': 9.1, '24': 16.84, '1264': 11.0}",110.26,5,"['4046', '3198', '3164', '7526', '5846', '5906', '5086', '1264', 'BUF']","[24.36, 22.2, 9.1, 4.9, 18.4, 5.5, 7.8, 11.0, 7.0]",4
47,,1,"['CHI', '8144', '7528', '6847', '5892', '4881', '4036', '3199', '2216', '1825', '1535', '1433', '1339', '1166']","{'CHI': 7.0, '8144': 14.7, '7528': 7.4, '6847': 7.1, '5892': 0.0, '4881': 15.06, '4036': 15.9, '3199': 0.0, '2216': 26.3, '1825': 3.7, '1535': 9.8, '1433': 4.0, '1339': 13.7, '1166': 13.92}",105.06,6,"['4881', '7528', '1535', '2216', '8144', '1339', '6847', '1433', 'CHI']","[15.06, 7.4, 9.8, 26.3, 14.7, 13.7, 7.1, 4.0, 7.0]",4
48,,2,"['NO', '956', '8168', '8167', '8136', '7610', '7596', '6819', '6151', '5848', '5045', '4666', '4035', '2028', '1466']","{'NO': 4.0, '956': 5.8, '8168': 4.1, '8167': 8.8, '8136': 11.1, '7610': 0.0, '7596': 7.0, '6819': 4.6, '6151': 28.6, '5848': 17.8, '5045': 13.7, '4666': 12.0, '4035': 0.0, '2028': 11.52, '1466': 19.7}",111.92,7,"['2028', '4035', '6151', '6819', '5045', '1466', '5848', '4666', 'NO']","[11.52, 0.0, 28.6, 4.6, 13.7, 19.7, 17.8, 12.0, 4.0]",4
49,,4,"['PHI', '947', '7588', '6797', '6794', '6783', '6768', '5916', '5185', '5000', '4958', '4089', '4037', '2320']","{'PHI': 18.0, '947': 1.2, '7588': 3.2, '6797': 21.1, '6794': 26.0, '6783': 13.3, '6768': 3.4, '5916': 5.4, '5185': 14.6, '5000': 9.0, '4958': 15.0, '4089': 14.6, '4037': 9.4, '2320': -2.2}",105.9,8,"['6768', '7588', '2320', '6794', '5185', '4089', '6783', '4958', 'PHI']","[3.4, 3.2, -2.2, 26.0, 14.6, 14.6, 13.3, 15.0, 18.0]",4
