,player_id,player_display_name,position,season,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points_ppr,interceptions,sack_fumbles,sack_fumbles_lost,rushing_fumbles,rushing_fumbles_lost,receiving_fumbles,receiving_fumbles_lost,passing_yards,passing_tds,passing_2pt_conversions,receiving_2pt_conversions,gsis_id,sleeper_id
119,00-0033040,Tyreek Hill,WR,26286,6,30.0,0,2.0,0,100,139,1460.0,6,1676.0,458.0,64.0,63.08025416160151,285.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,00-0033040,3321
120,00-0033045,Ezekiel Elliott,RB,22242,172,716.0,9,43.0,0,14,18,73.0,0,-7.0,72.0,2.0,-4.446498528472148,146.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033045,3164
121,00-0033077,Dak Prescott,QB,16176,25,94.0,1,10.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,127.28,9.0,2,0,0.0,0.0,0.0,0.0,1847.0,14,0,0,00-0033077,3294
122,00-0033090,Hunter Henry,TE,26286,0,0.0,0,0.0,0,28,42,406.0,2,353.0,163.0,19.0,13.894166635025329,80.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033090,3214
123,00-0033106,Jared Goff,QB,26286,23,51.0,0,3.0,1,1,1,5.0,0,0.0,5.0,0.0,-0.10016044188523665,212.68,7.0,4,3,1.0,0.0,0.0,0.0,3352.0,22,1,0,00-0033106,3163
124,00-0033110,Tyler Higbee,TE,24264,0,0.0,0,0.0,0,52,81,455.0,0,278.0,284.0,22.0,-4.3739631716429646,97.50000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033110,3271
125,00-0033114,Mike Thomas,WR,8088,0,0.0,0,0.0,0,2,10,38.0,0,122.0,24.0,1.0,-4.935994758387096,7.800000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,00-0033114,
126,00-0033118,Kenyan Drake,RB,22242,93,422.0,3,19.0,0,15,21,70.0,1,-14.0,105.0,6.0,-5.420548822136419,88.2,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,00-0033118,3242
127,00-0033119,Jacoby Brissett,QB,24264,47,238.0,2,26.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,168.12,6.0,5,3,1.0,1.0,0.0,0.0,2608.0,12,0,0,00-0033119,3257
128,00-0033217,Mo Alie-Cox,TE,20220,0,0.0,0,0.0,0,17,23,183.0,2,100.0,99.0,8.0,-0.5620735887966868,45.3,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0,0,0,00-0033217,4054
129,00-0033246,Johnny Mundt,TE,22242,0,0.0,0,0.0,0,17,19,117.0,1,30.0,93.0,8.0,3.8616489682853317,34.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033246,4314
130,00-0033251,Zach Pascal,WR,20220,1,0.0,0,0.0,0,14,17,144.0,1,100.0,85.0,9.0,1.0465666975360364,34.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033251,4319
131,00-0033275,P.J. Walker,QB,12132,6,39.0,0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,39.14,3.0,0,0,0.0,0.0,0.0,0.0,731.0,3,0,0,00-0033275,4335
132,00-0033280,Christian McCaffrey,RB,26286,174,819.0,5,41.0,0,68,86,593.0,4,113.0,545.0,30.0,16.396313793479685,268.56,0.0,0,0,1.0,0.0,0.0,0.0,34.0,1,0,0,00-0033280,4034
133,00-0033282,Curtis Samuel,WR,26286,31,188.0,1,11.0,0,54,79,556.0,3,485.0,249.0,30.0,24.84816067687543,150.4,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,00-0033282,4082
