added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Matt Ammendola,jakesmyth,0,1.0,[1664124175865],[None],[1.0],[3],[3]
Tony Jones,ujthechamp,0,0.7,[1670460382677],[None],[0.7],[14],[14]
Trey McBride,mattlatham,0,0.6,[1669081498907],[{'Greg Dulcich': 'mattlatham'}],[0.6],[12],[11]
Ty Johnson,mattlatham,0,0.6,[1666808399512],[None],[0.6],[8],[8]
Kenyan Drake,carlogesualdo,0,0.5,[1666310473214],[None],[0.5],[7],[7]
Ben Skowronek,carlogesualdo,0,0.0,[1670933067130],[None],[],[],[14]
JaMycal Hasty,mattlatham,0,0.0,[1669979240439],[{'Terrace Marshall': 'mattlatham'}],[],[],[13]
Jacksonville Jaguars,julesdefwatchesftbll,0,0.0,[1665778087504],[{'Denver Broncos': 'julesdefwatchesftbll'}],[0.0],[6],[6]
Jahan Dotson,petenotpetey,0,0.0,[1668302757753],[None],[],[],[10]
Donovan Peoples-Jones,jakesmyth,2,0.0,[1663123966744],[None],[],[],[1]
DeeJay Dallas,mattlatham,0,0.0,[1670343086374],[{'JaMycal Hasty': 'mattlatham'}],[],[],[13]
Sony Michel,carlogesualdo,0,0.0,"[1666539864003, 1667520744522]","[{'Joshua Kelley': 'carlogesualdo'}, {'Greg Zuerlein': 'carlogesualdo'}]",[],[],"[7, 9]"
Taysom Hill,phan497,6,0.0,[1663068417317],[None],[],[],[1]
Benny Snell,carlogesualdo,0,0.0,[1669810845698],[None],[],[],[13]
Brandin Cooks,petenotpetey,1,0.0,[1669206020093],[{'Jahan Dotson': 'petenotpetey'}],[],[],[12]
Romeo Doubs,petenotpetey,0,0.0,[1665245111673],[None],[],[],[5]
Austin Seibert,phan497,0,0.0,[1664368296105],[{'Wil Lutz': 'phan497'}],[],[],[4]
Taysom Hill,mattlatham,0,0.0,[1664935041780],[{'Mike Gesicki': 'mattlatham'}],[],[],[4]
Travis Homer,carlogesualdo,0,0.0,[1670504798810],[{'Darius Slayton': 'carlogesualdo'}],[],[],[14]
Teddy Bridgewater,llatham65,0,0.0,[1664922476810],[None],[],[],[4]
Dontrell Hilliard,julesdefwatchesftbll,0,0.0,[1670685404448],[{'Eno Benjamin': 'julesdefwatchesftbll'}],[0.0],[14],[14]
Zay Jones,petenotpetey,6,0.0,"[1664595110195, 1665100542709, 1670940582963]","[None, None, {'Matt Breida': 'petenotpetey'}]",[],[],"[4, 5, 14]"
Greg Dortch,lauramarkey,0,0.0,[1664748868931],[None],[],[],[4]
Greg Dulcich,llatham65,5,0.0,[1666892867369],[{'Juwan Johnson': 'llatham65'}],[],[],[8]
Arizona Cardinals,llatham65,0,0.0,[1667820607070],[{'Cincinnati Bengals': 'llatham65'}],[],[],[9]
Wan'Dale Robinson,carlogesualdo,0,0.0,"[1666888956761, 1667948339091]","[{'Kenyan Drake': 'carlogesualdo'}, {'Romeo Doubs': 'carlogesualdo'}]",[],[],"[8, 9]"
Van Jefferson,llatham65,0,0.0,[1668515145205],[None],[],[],[10]
Tyrion Davis-Price,lauramarkey,0,0.0,[1663237976091],[{'Chuba Hubbard': 'lauramarkey'}],[],[],[2]
Greg Joseph,jakesmyth,0,0.0,[1664121068836],[{'Robbie Gould': 'jakesmyth'}],[],[],[3]
Tyler Conklin,andyhan4,15,0.0,[1664303722229],[{'Darnell Mooney': 'andyhan4'}],[0.0],[5],[3]
Austin Hooper,julesdefwatchesftbll,0,0.0,[1662381548639],[None],[],[],[1]
Ty Johnson,jakesmyth,0,0.0,[1669793802816],[None],[],[],[12]
Treylon Burks,petenotpetey,0,0.0,[1668018515719],[None],[],[],[10]
Gus Edwards,llatham65,1,0.0,[1668515218683],[None],[],[],[10]
Trevor Lawrence,carlogesualdo,0,0.0,[1670933100888],[{'Samaje Perine': 'carlogesualdo'}],[],[],[14]
Romeo Doubs,carlogesualdo,0,0.0,[1667329324347],"[{""Wan'Dale Robinson"": 'carlogesualdo'}]",[],[],[8]
Tevin Coleman,carlogesualdo,0,0.0,[1665697038536],[{'Rex Burkhead': 'carlogesualdo'}],[],[],[6]
Harrison Bryant,llatham65,8,0.0,[1666729490893],[None],[0.0],[8],[7]
Isaiah McKenzie,petenotpetey,2,0.0,"[1665786961147, 1666704793245, 1670678067128]","[None, None, {'Brandin Cooks': 'petenotpetey'}]",[],[],"[6, 7, 14]"
James Cook,carlogesualdo,0,0.0,[1670460535486],[{'Jameson Williams': 'carlogesualdo'}],[],[],[14]
Kyren Williams,phan497,0,0.0,"[1666270180525, 1666873395913, 1668826835380]","[{'Graham Gano': 'phan497'}, {'Nyheim Hines': 'phan497'}, None]",[],[],"[7, 8, 11]"
Jameson Williams,carlogesualdo,0,0.0,[1669191784133],[{'Brandin Cooks': 'carlogesualdo'}],[],[],[12]
DeeJay Dallas,jakesmyth,5,0.0,[1665551074932],[None],[],[],[5]
Mike Gesicki,llatham65,0,0.0,[1666175927175],[None],[],[],[7]
Cole Beasley,phan497,6,0.0,[1663712411137],[{'Romeo Doubs': 'phan497'}],[],[],[2]
Mike Davis,andyhan4,0,0.0,[1662432216421],[{'Ronald Jones': 'andyhan4'}],[],[],[1]
Michael Carter,phan497,0,0.0,[1663068345914],[None],[],[],[1]
Brock Purdy,alexludtke,7,0.0,[1670346526455],[None],[],[],[13]
Brock Wright,llatham65,0,0.0,[1667389591157],[{'Greg Dulcich': 'llatham65'}],[],[],[9]
Kenny Pickett,llatham65,0,0.0,[1666176065990],[None],[],[],[7]
Caleb Huntley,carlogesualdo,0,0.0,[1664969113104],[{'Pittsburgh Steelers': 'carlogesualdo'}],[],[],[5]
Mecole Hardman,petenotpetey,1,0.0,"[1664066438681, 1667908964295]","[None, {'Baltimore Ravens': 'petenotpetey'}]",[],[],"[3, 9]"
Matt Prater,carlogesualdo,1,0.0,[1666092008484],[{'Matt Gay': 'carlogesualdo'}],[],[],[6]
Matt Breida,petenotpetey,0,0.0,[1670722581211],[{'Robert Tonyan': 'petenotpetey'}],[],[],[14]
Marquise Goodwin,carlogesualdo,0,0.0,[1666973713128],[None],[],[],[8]
Kenyan Drake,lauramarkey,5,0.0,[1663582413984],[{'George Pickens': 'lauramarkey'}],[],[],[2]
Mack Hollins,niclath95,5,0.0,[1669120368468],[None],[],[],[11]
Chuba Hubbard,llatham65,0,0.0,[1670465531266],[{'Justin Watson': 'llatham65'}],[],[],[14]
Kyren Williams,lauramarkey,0,0.0,[1669559977398],[None],[],[],[12]
Mac Jones,phan497,0,0.0,[1666185058129],[{'Jerick McKinnon': 'phan497'}],[],[],[7]
Kyren Williams,llatham65,0,0.0,[1668372750805],[{'Cam Akers': 'llatham65'}],[],[],[10]
Chuba Hubbard,carlogesualdo,0,0.0,[1666325827188],[{'J.D. McKissic': 'carlogesualdo'}],[],[],[7]
Mike White,alexludtke,20,0.0,[1670346756645],[None],[],[],[13]
Justice Hill,mattlatham,3,0.0,"[1662664983714, 1666553298321]","[None, {'Romeo Doubs': 'mattlatham'}]",[],[],"[1, 7]"
Odell Beckham,phan497,0,0.0,[1667839532916],[{'Gus Edwards': 'phan497'}],[],[],[9]
Craig Reynolds,carlogesualdo,0,0.0,[1664714100213],[None],[],[],[4]
DeAndre Carter,carlogesualdo,0,0.0,[1667512508797],[{'Marquise Goodwin': 'carlogesualdo'}],[],[],[9]
Jason Myers,llatham65,0,0.0,[1665548478880],[None],[],[],[5]
Jason Sanders,phan497,0,0.0,[1666270204667],[None],[],[],[7]
Latavius Murray,llatham65,10,0.0,[1666303209913],[None],[],[],[7]
Jaylen Warren,mattlatham,25,0.0,[1663125871266],[{'Alec Pierce': 'mattlatham'}],[],[],[1]
Darrel Williams,carlogesualdo,15,0.0,[1663721382107],[{'Kadarius Toney': 'carlogesualdo'}],[],[],[2]
Jerick McKinnon,lauramarkey,15,0.0,[1663582452168],[{'Tyrion Davis-Price': 'lauramarkey'}],[],[],[2]
Jerick McKinnon,phan497,0,0.0,[1664675263234],[None],[],[],[4]
Parris Campbell,phan497,0,0.0,[1666873411551],[None],[],[],[8]
Rex Burkhead,carlogesualdo,4,0.0,[1663114266597],[{'James Cook': 'carlogesualdo'}],[],[],[1]
Odell Beckham,llatham65,0,0.0,[1666302742344],[{'Cole Kmet': 'llatham65'}],[],[],[7]
Darius Slayton,llatham65,2,0.0,[1670592050516],[{'Zay Jones': 'llatham65'}],[],[],[14]
Jimmy Garoppolo,phan497,0,0.0,[1663685663573],[{'Jameis Winston': 'phan497'}],[],[],[2]
Noah Fant,llatham65,0,0.0,[1670465596023],[None],[0.0],[14],[14]
Noah Brown,ujthechamp,0,0.0,[1664385467945],[None],[],[],[4]
Nico Collins,phan497,0,0.0,[1668873493846],[{'Kyren Williams': 'phan497'}],[],[],[11]
DJ Chark,llatham65,0,0.0,[1666176267526],[None],[],[],[7]
Joshua Kelley,carlogesualdo,0,0.0,"[1665697183190, 1666812863435]","[{'Craig Reynolds': 'carlogesualdo'}, None]",[],[],"[6, 8]"
Minnesota Vikings,alexludtke,0,-1.0,[1670573254983],[{'New York Jets': 'alexludtke'}],[-1.0],[14],[14]
Tennessee Titans,emilyhan,0,-4.0,[1670383315777],[{'New Orleans Saints': 'emilyhan'}],[-4.0],[14],[13]
