added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Evan Engram,andyhan4,0,46.1,[1669486942088],[{'Russell Gage': 'andyhan4'}],"[0.9, 11.5, 33.7]","[12, 13, 14]",[12]
Jakobi Meyers,petenotpetey,26,46.0,[1665486682004],[{'Zay Jones': 'petenotpetey'}],"[8.0, 10.4, 16.5, 3.9, 7.2]","[6, 7, 8, 9, 11]",[5]
Parris Campbell,ujthechamp,0,45.9,[1666916282036],[None],"[8.1, 2.6, 17.1, 9.2, 2.4, 6.5]","[8, 9, 10, 11, 12, 13]",[8]
Joshua Palmer,llatham65,0,44.4,[1667403787741],[None],"[14.6, 5.9, 7.1, 9.5, 7.3]","[9, 10, 12, 13, 14]",[9]
Russell Wilson,emilyhan,0,44.22,[1665630108783],[{'Christian Watson': 'emilyhan'}],"[13.82, 12.24, 10.68, 7.48]","[6, 10, 11, 12]",[6]
Graham Gano,phan497,0,44.0,"[1664546726422, 1666270220695]","[{'Austin Seibert': 'phan497'}, {'Jason Sanders': 'phan497'}]","[9.0, 10.0, 6.0, 11.0, 8.0]","[4, 5, 6, 7, 8]","[4, 7]"
Jake Elliott,mattlatham,0,43.0,[1666791574076],[{'Taylor Bertolet': 'mattlatham'}],"[5.0, 2.0, 3.0, 5.0, 11.0, 5.0, 12.0]","[8, 9, 10, 11, 12, 13, 14]",[8]
Brett Maher,jakesmyth,1,43.0,[1664336829707],[None],"[15.0, 11.0, 4.0, 6.0, 7.0]","[4, 5, 6, 7, 8]",[3]
Christian Watson,mattlatham,0,42.0,[1668522768051],[None],"[19.1, 22.9]","[11, 13]",[10]
Cole Kmet,llatham65,0,41.8,[1667986448573],[{'Evan Engram': 'llatham65'}],"[0.0, 2.0, 21.4, 5.0, 3.2, 10.2]","[1, 6, 10, 11, 12, 13]",[10]
Curtis Samuel,carlogesualdo,0,41.6,[1663147924849],[{'K.J. Osborn': 'carlogesualdo'}],"[5.8, 9.2, 1.6, 9.4, 15.6]","[4, 5, 6, 8, 9]",[2]
Jason Myers,anahan,1,41.0,[1666224063519],[{'Tyler Bass': 'anahan'}],"[16.0, 11.0, 8.0, 6.0]","[7, 8, 9, 10]",[7]
